Customer_ID,Full_Name,Gender,Birthdate,Registration_Date,Email,Phone_Number,City,Preferred_Channel,Batch_ID,Source_File
C001502,Isabella Martin,Other,1981-12-30,2020-02-17,ISABELLA.MARTIN@EXAMPLE.COM,+20415412207,Cairo,Online,gen_20251127_092505,customers.csv
C002587,Omar Hassan,Male,1965-07-04,2021-10-21,omar.hassan@example.com,+20418658596,Riyadh,Online,gen_20251127_092505,customers.csv
C002654,Julia Garcia,Female,1990-08-15,2018-04-28,julia.garcia@example.com,+20903046909,Dubai,Online,gen_20251127_092505,customers.csv
C001056,Liam Lopez,Male,1966-11-25,2022-05-22,liam.lopez@example.com,+20309058805,Giza,Online,gen_20251127_092505,customers.csv
C000706,Fatima Lopez,Female,1955-02-18,2018-08-03,fatima.lopez@example.com,+20939200442,Cairo,In-Store,gen_20251127_092505,customers.csv
C000107,Isabella Ali,Other,1995-07-09,2019-12-31,isabella.ali@example.com,+20532105445,Dubai,Mixed,gen_20251127_092505,customers.csv
C000590,Mia Martin,Female,2005-09-28,2023-09-16,,+20194970385,Alexandria,Mixed,gen_20251127_092505,customers.csv
C002469,Anna Lopez,Male,1961-10-12,2018-12-28,anna.lopez@example.com,+20129632269,Cairo,Mixed,gen_20251127_092505,customers.csv
C002414,David Martin,Other,1958-10-29,2019-12-09,david.martin@example.com,+20151687893,riyadh,In-Store,gen_20251127_092505,customers.csv
C001601,Isabella Smith,Other,1984-01-28,2018-06-19,isabella.smith@example.com,+20540479292,Doha,Online,gen_20251127_092505,customers.csv
C002465,Youssef Martin,Female,1994-12-14,2024-03-17,youssef.martin@example.com,+20146808439,Dubai,Online,gen_20251127_092505,customers.csv
C000229,Mia Hassan,Male,1972-12-02,2023-01-06,mia.hassan@example.com,+20169753732,NA,In-Store,gen_20251127_092505,customers.csv
C000916,Mohamed Ali,Male,1999-05-16,2021-09-14,mohamed.ali@example.com,+20454146887,Dubai,Online,gen_20251127_092505,customers.csv
C000795,David Smith,Male,2005-10-15,2018-10-30,david.smith@example.com,+20470351966,Riyadh,Online,gen_20251127_092505,customers.csv
C003022,Anna Johnson,Female,1965-10-04,2023-02-27,anna.johnson@example.com,+20749014495,Doha,In-Store,gen_20251127_092505,customers.csv
C003544,Mohamed Ali,Other,1985-10-05,2023-09-12,mohamed.ali@example.com,+20714874416,Riyadh,Mixed,gen_20251127_092505,customers.csv
C001074,Emma Brown,Male,1984-03-15,2018-12-23,emma.brown@example.com,+20222602873,Riyadh,In-Store,gen_20251127_092505,customers.csv
C003352,Carlos Smith,Female,1970-06-16,2018-09-25,,+20789152559,Tanta,In-Store,gen_20251127_092505,customers.csv
C001745,Julia Smith,Female,1967-05-24,2022-06-14,julia.smith@example.com,+20576591889,NA,Online,gen_20251127_092505,customers.csv
C001085,Maria Garcia,Male,1961-06-17,2018-04-08,maria.garcia@example.com,+20822211367,Alexandria,In-Store,gen_20251127_092505,customers.csv
C000927,Omar Hassan,Female,2001-01-06,2021-01-16,omar.hassan@example.com,+20609678536,Mansoura,Mixed,gen_20251127_092505,customers.csv
C003050,Liam Garcia,Other,1997-12-01,2024-07-24,liam.garcia@example.com,+20902444945,giza,Online,gen_20251127_092505,customers.csv
C001118,Youssef Yamamoto,Male,2001-06-13,2023-03-28,youssef.yamamoto@example.com,+20666919717,Cairo,mixed,gen_20251127_092505,customers.csv
C000643,Omar Lopez,Female,1979-05-16,2020-04-26,omar.lopez@example.com,+20337506253,,Online,gen_20251127_092505,customers.csv
C004768,Ahmed Lopez,Male,1996-04-17,2018-09-02,ahmed.lopez@example.com,+20193810935,,Online,gen_20251127_092505,customers.csv
C000502,David Garcia,Male,1980-11-30,2024-01-23,david.garcia@example.com,+20522741442,NA,Online,gen_20251127_092505,customers.csv
C004067,Anna Martin,Other,1961-12-31,2024-05-13,anna.martin@example.com,+20496475213,Giza,Online,gen_20251127_092505,customers.csv
C000334,Youssef Smith,Female,1968-12-31,2020-04-30,youssef.smith@example.com,+20446000291,Doha,Online,gen_20251127_092505,customers.csv
C004685,Sophia Hassan,Other,1980-06-04,2023-01-24,sophia.hassan@example.com,+20817379250,Giza,Mixed,gen_20251127_092505,customers.csv
C000487,David Khan,Male,1982-08-04,2021-11-30,david.khan@example.com,+20942285903,Riyadh,Mixed,gen_20251127_092505,customers.csv
C001963,David Garcia,Male,1957-04-12,2019-10-13,david.garcia@example.com,+20127259669,Cairo,Online,gen_20251127_092505,customers.csv
C000394,Carlos Brown,Female,1965-10-10,2024-08-08,carlos.brown@example.com,+20240252609,Tanta,Online,gen_20251127_092505,customers.csv
C004843,Liam Martin,Other,2005-02-06,2018-07-06,liam.martin@example.com,+20411017503,Giza,Online,gen_20251127_092505,customers.csv
C004867,Emma Garcia,Male,1975-03-19,2021-05-01,emma.garcia@example.com,+20396682803,Mansoura,Online,gen_20251127_092505,customers.csv
C001756,Liam Hassan,Male,1977-10-18,2019-02-01,liam.hassan@example.com,+20942317529,Alexandria,Online,gen_20251127_092505,customers.csv
C002516,Isabella Khan,Male,1999-06-30,2021-12-04,isabella.khan@example.com,+20856720823,Dubai,In-Store,gen_20251127_092505,customers.csv
C003586,Liam Brown,Male,1963-10-30,2022-12-15,liam.brown@example.com,+20743934814,Giza,Mixed,gen_20251127_092505,customers.csv
C004316,Sara Johnson,Female,1966-08-25,2019-09-17,sara.johnson@example.com,+20450448100,Dubai,Online,gen_20251127_092505,customers.csv
C004967,Mohamed Ali,Other,1974-12-17,2018-09-18,mohamed.ali@example.com,+20371003900,Giza,Mixed,gen_20251127_092505,customers.csv
C002100,Carlos Ali,Male,1968-10-31,2023-11-18,carlos.ali@example.com,+20271000690,Mansoura,Online,gen_20251127_092505,customers.csv
C003600,Amina Ali,Male,1977-02-06,2024-08-20,NA,+20826506010,Giza,Online,gen_20251127_092505,customers.csv
C004122,Hiro Smith,Female,2005-05-19,2021-11-24,hiro.smith@example.com,+20967949952,Riyadh,Mixed,gen_20251127_092505,customers.csv
C000030,Sara Johnson,Male,1993-04-15,2022-10-29,sara.johnson@example.com,+20810071517,Cairo,In-Store,gen_20251127_092505,customers.csv
C000066,David Khan,Male,1992-01-05,2019-02-22,david.khan@example.com,+20267259866,Mansoura,Online,gen_20251127_092505,customers.csv
C000839,Emma Martin,Other,1986-08-23,2021-07-01,emma.martin@example.com,+20476812647,Dubai,Online,gen_20251127_092505,customers.csv
C003907,Carlos Martin,Male,1974-12-30,2018-04-04,carlos.martin@example.com,+20516543203,Alexandria,In-Store,gen_20251127_092505,customers.csv
C003774,Sara Yamamoto,Male,1980-10-14,2019-11-18,sara.yamamoto@example.com,+20987492767,Alexandria,Mixed,gen_20251127_092505,customers.csv
C004636,Carlos Garcia,Male,1972-03-16,2019-10-05,carlos.garcia@example.com,+20883669595,Tanta,Mixed,gen_20251127_092505,customers.csv
C003162,Maria Johnson,OTHER,1961-10-30,2021-01-25,maria.johnson@example.com,+20265392246,Giza,Online,gen_20251127_092505,customers.csv
C002660,Julia Lopez,Male,1958-01-11,2024-02-23,julia.lopez@example.com,+20561387474,Giza,Online,gen_20251127_092505,customers.csv
C004616,Liam Khan,Female,1982-11-25,2020-02-12,liam.khan@example.com,+20693424161,Cairo,Mixed,gen_20251127_092505,customers.csv
C004629,Youssef Brown,Female,1975-03-01,2023-12-02,youssef.brown@example.com,+20977188594,Giza,Online,gen_20251127_092505,customers.csv
C002452,John Garcia,Other,1970-10-12,2019-04-07,john.garcia@example.com,+20417123114,Tanta,In-Store,gen_20251127_092505,customers.csv
C002847,Carlos Hassan,Female,2006-08-28,2019-12-20,carlos.hassan@example.com,+20815049537,Tanta,mixed,gen_20251127_092505,customers.csv
C001145,Sophia Lopez,Other,1974-04-21,2018-05-06,sophia.lopez@example.com,+20991413779,Doha,In-Store,gen_20251127_092505,customers.csv
C003079,Noah Hassan,Male,1997-02-13,2022-03-31,noah.hassan@example.com,+20708593250,Tanta,in-store,gen_20251127_092505,customers.csv
C001104,Liam Hassan,Other,1981-05-30,2018-02-02,liam.hassan@example.com,+20150227211,Riyadh,Mixed,gen_20251127_092505,customers.csv
C000169,Sophia Brown,Female,1972-11-23,2024-05-11,sophia.brown@example.com,+20870490902,Riyadh,Mixed,gen_20251127_092505,customers.csv
C001671,Anna Martin,Female,2006-03-01,2022-07-29,anna.martin@example.com,+20828556689,Riyadh,Online,gen_20251127_092505,customers.csv
C002571,Mohamed Yamamoto,Female,1982-09-23,2024-12-29,mohamed.yamamoto@example.com,+20218319868,NA,Online,gen_20251127_092505,customers.csv
C002378,Anna Khan,Other,1965-09-24,2024-05-05,anna.khan@example.com,+20200737158,Alexandria,In-Store,gen_20251127_092505,customers.csv
C004396,Maria Martin,Female,1992-03-30,2018-12-24,,+20101514120,Doha,Online,gen_20251127_092505,customers.csv
C004258,Fatima Smith,unkn0wn,1960-11-26,2018-06-04,fatima.smith@example.com,+20569028792,Giza,Online,gen_20251127_092505,customers.csv
C003863,Omar Smith,Other,1971-03-15,2019-09-18,omar.smith@example.com,+20541072985,Doha,Online,gen_20251127_092505,customers.csv
C000024,Sara Martin,Female,1979-10-14,2018-09-04,sara.martin@example.com,+20917865094,Dubai,Online,gen_20251127_092505,customers.csv
C002634,Anna Martin,Male,1984-05-01,2024-07-22,anna.martin@example.com,+20363006894,Giza,Online,gen_20251127_092505,customers.csv
C003341,Omar Johnson,Other,2001-08-28,2019-08-18,omar.johnson@example.com,+20916835171,Giza,online,gen_20251127_092505,customers.csv
C002216,Anna Yamamoto,Other,1955-11-16,2018-10-08,,+20389650850,Cairo,In-Store,gen_20251127_092505,customers.csv
C003683,Hiro Ali,Female,1963-07-08,2024-06-22,hiro.ali@example.com,+20842990269,Tanta,Mixed,gen_20251127_092505,customers.csv
C004725,Mohamed Ali,Male,1985-05-18,2023-01-18,mohamed.ali@example.com,+20339117017,Doha,Online,gen_20251127_092505,customers.csv
C001908,Omar Garcia,Other,1970-01-01,2021-12-20,omar.garcia@example.com,+20815730363,Doha,Online,gen_20251127_092505,customers.csv
C000085,Liam Martin,Other,1994-08-20,2021-09-07,,+20283777760,Giza,In-Store,gen_20251127_092505,customers.csv
C000228,Maria Lopez,Male,1997-01-19,2018-10-30,maria.lopez@example.com,+20712658943,Cairo,Online,gen_20251127_092505,customers.csv
C000297,Liam Lopez,Male,1991-04-24,2023-07-04,liam.lopez@example.com,+20856920079,Alexandria,In-Store,gen_20251127_092505,customers.csv
C001002,Julia Martin,Female,1971-01-28,2019-08-03,julia.martin@example.com,+20814328041,Dubai,Mixed,gen_20251127_092505,customers.csv
C002139,Youssef Ali,Other,1999-08-23,2019-07-09,youssef.ali@example.com,+20259951350,Mansoura,In-Store,gen_20251127_092505,customers.csv
C000712,Sophia Garcia,MALE,1998-04-14,2018-08-11,sophia.garcia@example.com,+20794037291,Dubai,In-Store,gen_20251127_092505,customers.csv
C002802,Liam Johnson,Male,1984-02-24,2018-11-07,liam.johnson@example.com,,Alexandria,Mixed,gen_20251127_092505,customers.csv
C002528,Sara Johnson,Other,2007-02-21,2021-10-30,sara.johnson@example.com,+20582041350,Doha,Online,gen_20251127_092505,customers.csv
C003753,Hiro Smith,Other,1962-10-24,2024-09-17,,+20262190517,Doha,Mixed,gen_20251127_092505,customers.csv
C003322,Omar Yamamoto,Male,1965-01-07,2020-11-28,omar.yamamoto@example.com,+20139929993,Mansoura,Mixed,gen_20251127_092505,customers.csv
C003182,David Brown,Male,1978-06-02,2021-02-08,david.brown@example.com,+20862283318,Doha,online,gen_20251127_092505,customers.csv
C004184,Noah Brown,Other,1982-05-05,2021-03-23,noah.brown@example.com,+20258020934,Tanta,In-Store,gen_20251127_092505,customers.csv
C001616,Youssef Khan,Female,1958-12-16,2019-02-09,youssef.khan@example.com,+20988875332,Alexandria,In-Store,gen_20251127_092505,customers.csv
C003025,Maria Hassan,MALE,1963-04-30,2019-07-21,NA,+20437887117,Dubai,In-Store,gen_20251127_092505,customers.csv
C001414,Amina Hassan,Female,1955-01-29,2024-08-01,amina.hassan@example.com,+20235079395,Dubai,In-Store,gen_20251127_092505,customers.csv
C000764,Liam Johnson,Male,2000-11-07,2023-02-15,liam.johnson@example.com,+20548326739,Mansoura,Online,gen_20251127_092505,customers.csv
C000656,John Garcia,Other,1961-02-10,2020-05-08,john.garcia@example.com,+20140605553,Giza,Mixed,gen_20251127_092505,customers.csv
C004798,Mia Lopez,Other,1974-10-11,2021-12-08,mia.lopez@example.com,+20248221726,Tanta,Online,gen_20251127_092505,customers.csv
C003850,Fatima Ali,Female,2005-11-23,2019-09-06,fatima.ali@example.com,+20900094924,Tanta,Online,gen_20251127_092505,customers.csv
C004154,Anna Smith,Female,1965-11-03,2019-12-17,anna.smith@example.com,+20348201340,Mansoura,Online,gen_20251127_092505,customers.csv
C000469,Amina Khan,Other,1977-05-23,2021-03-20,amina.khan@example.com,+20533468377,Doha,Online,gen_20251127_092505,customers.csv
C000158,Mohamed Martin,Female,1970-07-25,2020-11-24,mohamed.martin@example.com,+20647228995,Tanta,In-Store,gen_20251127_092505,customers.csv
C001296,Ahmed Lopez,Male,1990-09-27,2022-11-22,ahmed.lopez@example.com,+20985622111,Tanta,Online,gen_20251127_092505,customers.csv
C000498,Mia Khan,Male,1967-01-10,2019-07-16,mia.khan@example.com,+20313412088,Giza,In-Store,gen_20251127_092505,customers.csv
C004741,Liam Johnson,Female,1955-11-25,2024-04-21,liam.johnson@example.com,+20421721097,Doha,Mixed,gen_20251127_092505,customers.csv
C002941,Liam Lopez,Female,1988-09-24,2023-04-21,liam.lopez@example.com,+20192594224,Giza,Online,gen_20251127_092505,customers.csv
C003457,Anna Smith,Female,1992-07-30,2021-08-10,anna.smith@example.com,+20612771313,Alexandria,online,gen_20251127_092505,customers.csv
